species,Family,Order,specialization_lvl,migratory_behavior,mass_mean,FMR_pred_a,FMR_pred_b,mean log x,c,d,e,Service_days,FN_mean,FN_min,FN_max,NV_mean_ln,NV_sd_ln,FNE_mean,FNE_min,FNE_max,NC_mean_ln,NC_sd_ln
White-winged Dove,Columbidae,Columbiformes,generalized non-hummingbirds,,153,6.35,0.671,2.089,0.33,1.067,0.067,91,0.3,0.075,0.525,6.258427732,0.278142365,0.85,0.7,1,-1.427116356,0.04765509
Verdin,Remizidae,Passeriformes,generalized non-hummingbirds,,6.8,6.35,0.671,2.089,0.33,1.067,0.067,365,0.073,0.0657,0.0803,2.991840781,0.276741464,0.85,0.7,1,-1.453655343,0.038037651
Cactus Wren,Troglodytidae,Passeriformes,generalized non-hummingbirds,,38.9,6.35,0.671,2.089,0.33,1.067,0.067,365,0.13,0.0325,0.2275,6.258427732,0.278142365,0.85,0.7,1,-1.427116356,0.04765509
Ruby-throated Hummingbird,Trochilidae,Caprimulgiformes,generalized hummingbirds,L,3.09,5.61,1.21,0.742,0.102,1.2,10.52,56,0.875,0.85,0.9,3.154687666,0.146883508,0.85,0.7,1,-1.401450789,0.041648599
Black-chinned Hummingbird,Trochilidae,Caprimulgiformes,generalized hummingbirds,M2L,3.39,5.61,1.21,0.742,0.102,1.2,10.52,56,0.875,0.85,0.9,3.154687666,0.146883508,0.85,0.7,1,-1.401450789,0.041648599
Anna's Hummingbird,Trochilidae,Caprimulgiformes,generalized hummingbirds,S2S,4.24,5.61,1.21,0.742,0.102,1.2,10.52,105,0.875,0.85,0.9,3.154687666,0.146883508,0.85,0.7,1,-1.401450789,0.041648599
Costa's Hummingbird,Trochilidae,Caprimulgiformes,specialized hummingbirds,S,3.09,5.61,1.21,0.742,0.102,1.2,10.52,119,0.875,0.85,0.9,3.154687666,0.146883508,0.85,0.7,1,-1.401450789,0.041648599
Broad-tailed Hummingbird,Trochilidae,Caprimulgiformes,specialized hummingbirds,M2L,3.54,5.61,1.21,0.742,0.102,1.2,10.52,70,0.875,0.85,0.9,3.154687666,0.146883508,0.85,0.7,1,-1.401450789,0.041648599
Rufous Hummingbird,Trochilidae,Caprimulgiformes,specialized hummingbirds,L,3.5,5.61,1.21,0.742,0.102,1.2,10.52,21,0.875,0.85,0.9,3.154687666,0.146883508,0.85,0.7,1,-1.401450789,0.041648599
Allen's Hummingbird,Trochilidae,Caprimulgiformes,specialized hummingbirds,M,3.36,5.61,1.21,0.742,0.102,1.2,10.52,91,0.875,0.85,0.9,3.154687666,0.146883508,0.85,0.7,1,-1.401450789,0.041648599
Calliope Hummingbird,Trochilidae,Caprimulgiformes,specialized hummingbirds,L,2.64,5.61,1.21,0.742,0.102,1.2,10.52,28,0.875,0.85,0.9,3.154687666,0.146883508,0.85,0.7,1,-1.401450789,0.041648599
Acorn Woodpecker,Picidae,Piciformes,generalized non-hummingbirds,,79.62,15.9,0.543,1.203,0.183,1.063,0.718,365,0.015,0.00375,0.02625,4.14702482,0.229072683,0.85,0.7,1,-2.283725377,0.105349209
Orchard Oriole,Icteridae,Passeriformes,generalized non-hummingbirds,,19.44,10.4,0.68,1.268,0.225,1.025,0.375,35,0.099,0.02475,0.17325,4.14702482,0.229072683,0.85,0.7,1,-2.283725377,0.105349209
Hooded Oriole,Icteridae,Passeriformes,generalized non-hummingbirds,,24.3,10.4,0.68,1.268,0.225,1.025,0.375,112,0.099,0.02475,0.17325,4.14702482,0.229072683,0.85,0.7,1,-2.283725377,0.105349209
Bullock's Oriole,Icteridae,Passeriformes,generalized non-hummingbirds,,37.9,10.4,0.68,1.268,0.225,1.025,0.375,35,0.099,0.02475,0.17325,4.14702482,0.229072683,0.85,0.7,1,-2.283725377,0.105349209
Baltimore Oriole,Icteridae,Passeriformes,generalized non-hummingbirds,,32.83,10.4,0.68,1.268,0.225,1.025,0.375,70,0.07,0.0175,0.1225,4.14702482,0.229072683,0.85,0.7,1,-2.283725377,0.105349209
Scott's Oriole,Icteridae,Passeriformes,generalized non-hummingbirds,,36.48,10.4,0.68,1.268,0.225,1.025,0.375,42,0.099,0.02475,0.17325,4.14702482,0.229072683,0.85,0.7,1,-2.283725377,0.105349209
